s2_id,longitude,latitude,time,cs_cdf,base_date,days_diff,neon_id,utm_x,utm_y,crs,id,exists_boa
20220923T161001_20220923T161444_T17SKV,-83.50163959393235,35.71414108768299,2022-09-23,0.9137254901960784,2022-09-23,0,projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_GRSM_7,272476.3475859064,3954822.5431251368,EPSG:32617,NEON_S2__0195,True
20220923T161001_20220923T161444_T17SKV,-83.45564585138543,35.62215360258915,2022-09-23,0.9176470588235294,2022-09-23,0,projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_GRSM_7,275529.73556536925,3943792.8837036784,EPSG:32617,NEON_S2__0196,True
20220923T161001_20220923T161444_T17SKV,-83.45564585138543,35.66814734513607,2022-09-23,0.9098039215686274,2022-09-23,0,projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_GRSM_7,276479.926002797,3948790.40319033,EPSG:32617,NEON_S2__0197,True
20220923T161001_20220923T161444_T17SKV,-83.45564585138543,35.71414108768299,2022-09-23,0.9176470588235294,2022-09-23,0,projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_GRSM_7,277430.7821201011,3953787.7671151687,EPSG:32617,NEON_S2__0198,True
20220923T161001_20220923T161444_T17SKV,-83.40965210883851,35.66814734513607,2022-09-23,0.9176470588235294,2022-09-23,0,projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_GRSM_7,281433.84290383186,3947755.4452260872,EPSG:32617,NEON_S2__0199,True
20220923T161001_20220923T161444_T17SKV,-83.40965210883851,35.71414108768299,2022-09-23,0.9137254901960784,2022-09-23,0,projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_GRSM_7,282384.94396728894,3952752.345971402,EPSG:32617,NEON_S2__0200,True
20220717T173909_20220717T174744_T13TFE,-103.04898017637314,40.49749031256262,2022-07-17,0.9019607843137256,2022-07-17,0,projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_STER_4,663781.3570500092,4485633.362922423,EPSG:32613,NEON_S2__0232,True
20220803T214541_20220803T214540_T05WPS,-149.54865389130876,68.59966700873044,2022-08-03,0.9137254901960784,2022-08-03,0,projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_TOOL_4,395947.4139309033,7611765.459610993,EPSG:32606,NEON_S2__0236,True
20220620T165901_20220620T171040_T16TCS,-89.52681986757881,46.15472064583372,2022-06-20,0.9098039215686274,2022-06-20,0,projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_UNDE_5,305217.4273290457,5116091.928091735,EPSG:32616,NEON_S2__0247,True
20220620T165901_20220620T171040_T16TCS,-89.52681986757881,46.20071438838064,2022-06-20,0.9058823529411764,2022-06-20,0,projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_UNDE_5,305908.96032829466,5121157.336384269,EPSG:32616,NEON_S2__0248,True
20220620T165901_20220620T171040_T16TCS,-89.52681986757881,46.24670813092756,2022-06-20,0.9098039215686274,2022-06-20,0,projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_UNDE_5,306600.87475123524,5126222.675410517,EPSG:32616,NEON_S2__0249,True
20220620T165901_20220620T171040_T16TCS,-89.43483238248497,46.15472064583372,2022-06-20,0.9058823529411764,2022-06-20,0,projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_UNDE_5,310280.63606213254,5115384.748037769,EPSG:32616,NEON_S2__0250,True
20220620T165901_20220620T171040_T16TCS,-89.52681986757881,46.15472064583372,2022-06-20,0.9098039215686274,2022-06-20,0,projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_UNDE_5,305217.4273290457,5116091.928091735,EPSG:32616,NEON_S2__0251,True
20220620T165901_20220620T171040_T16TCS,-89.52681986757881,46.20071438838064,2022-06-20,0.9058823529411764,2022-06-20,0,projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_UNDE_5,305908.96032829466,5121157.336384269,EPSG:32616,NEON_S2__0252,True
20220620T165901_20220620T171040_T16TCS,-89.52681986757881,46.24670813092756,2022-06-20,0.9098039215686274,2022-06-20,0,projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_UNDE_5,306600.87475123524,5126222.675410517,EPSG:32616,NEON_S2__0253,True
