s2_id,longitude,latitude,time,cs_cdf,base_date,days_diff,neon_id,utm_x,utm_y,crs,tile_id,abs_days_diff,id
20160609T162342_20160609T162514_T17SKV,-83.50163959393235,35.66814734513607,2016-06-09,0.9098039215686274,2016-06-08,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,271525.7355120389,3949824.714154487,EPSG:32617,NA5120_E1863N0618,1,NEON_S2__0019
20160609T162514_20160613T232713_T17SKV,-83.50163959393235,35.66814734513607,2016-06-09,0.9098039215686274,2016-06-08,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,271525.7355120389,3949824.714154487,EPSG:32617,NA5120_E1863N0618,1,NEON_S2__0020
20160609T162342_20160609T162514_T17SKV,-83.45564585138543,35.62215360258915,2016-06-09,0.9058823529411764,2016-06-08,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,275529.73556536925,3943792.8837036784,EPSG:32617,NA5120_E1864N0617,1,NEON_S2__0021
20160609T162514_20160613T232713_T17SKV,-83.45564585138543,35.62215360258915,2016-06-09,0.9058823529411764,2016-06-08,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,275529.73556536925,3943792.8837036784,EPSG:32617,NA5120_E1864N0617,1,NEON_S2__0022
20160609T162342_20160609T162514_T17SKV,-83.45564585138543,35.66814734513607,2016-06-09,0.9058823529411764,2016-06-08,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,276479.926002797,3948790.40319033,EPSG:32617,NA5120_E1864N0618,1,NEON_S2__0023
20160609T162514_20160613T232713_T17SKV,-83.45564585138543,35.66814734513607,2016-06-09,0.9058823529411764,2016-06-08,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,276479.926002797,3948790.40319033,EPSG:32617,NA5120_E1864N0618,1,NEON_S2__0024
20160609T162342_20160609T162514_T17SKV,-83.45564585138543,35.71414108768299,2016-06-09,0.9098039215686274,2016-06-08,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,277430.7821201011,3953787.7671151687,EPSG:32617,NA5120_E1864N0619,1,NEON_S2__0025
20160609T162514_20160613T232713_T17SKV,-83.45564585138543,35.71414108768299,2016-06-09,0.9098039215686274,2016-06-08,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,277430.7821201011,3953787.7671151687,EPSG:32617,NA5120_E1864N0619,1,NEON_S2__0026
20160609T162342_20160609T162514_T17SKV,-83.40965210883851,35.66814734513607,2016-06-09,0.9098039215686274,2016-06-08,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,281433.84290383186,3947755.4452260872,EPSG:32617,NA5120_E1865N0618,1,NEON_S2__0027
20160609T162514_20160613T232713_T17SKV,-83.40965210883851,35.66814734513607,2016-06-09,0.9098039215686274,2016-06-08,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,281433.84290383186,3947755.4452260872,EPSG:32617,NA5120_E1865N0618,1,NEON_S2__0028
