ID_NEON,ID_SENTINEL2,Collection_NEON,Collection_Sentinel,x,y,crs,sentinel2_id,neon_id,image_id_neon,image_id_sentinel2,tile_id,utm,lon,lat,utm_x,utm_y,e7g_x,e7g_y,ID
2016_HARV_3,20160816T153912_20160816T204603_T18TYN,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,729000.0013534757,4707000.0008215215,32618,COPERNICUS/S2_HARMONIZED/20160816T153912_20160816T204603_T18TYN,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_HARV_3,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_HARV_3,COPERNICUS/S2_HARMONIZED/20160816T153912_20160816T204603_T18TYN,NA5120_E2014N0811,EPSG:32618,-72.24217178432893,42.47655951365485,726692.5434356346,4706375.965894271,10314240.0,4154880.0,NEON_S2__0011
2016_HARV_3,20160816T153912_20160816T204603_T18TYN,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,729000.0013534757,4707000.0008215215,32618,COPERNICUS/S2_HARMONIZED/20160816T153912_20160816T204603_T18TYN,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_HARV_3,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_HARV_3,COPERNICUS/S2_HARMONIZED/20160816T153912_20160816T204603_T18TYN,NA5120_E2014N0812,EPSG:32618,-72.2228351637432,42.51954480000945,728125.6852333196,4711201.374977781,10314240.0,4160000.0,NEON_S2__0012
2016_HARV_3,20160816T153912_20160816T204603_T18TYN,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,729000.0013534757,4707000.0008215215,32618,COPERNICUS/S2_HARMONIZED/20160816T153912_20160816T204603_T18TYN,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_HARV_3,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_HARV_3,COPERNICUS/S2_HARMONIZED/20160816T153912_20160816T204603_T18TYN,NA5120_E2014N0813,EPSG:32618,-72.20346207473575,42.56252402970656,729559.5331952453,4716026.614785149,10314240.0,4165120.0,NEON_S2__0013
2016_HARV_3,20160816T153912_20160816T204603_T18TYN,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,729000.0013534757,4707000.0008215215,32618,COPERNICUS/S2_HARMONIZED/20160816T153912_20160816T204603_T18TYN,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_HARV_3,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_HARV_3,COPERNICUS/S2_HARMONIZED/20160816T153912_20160816T204603_T18TYN,NA5120_E2015N0810,EPSG:32618,-72.20280177762291,42.41852347113441,730141.4982606214,4700037.122272774,10319360.0,4149760.0,NEON_S2__0014
2016_HARV_3,20160816T153912_20160816T204603_T18TYN,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,729000.0013534757,4707000.0008215215,32618,COPERNICUS/S2_HARMONIZED/20160816T153912_20160816T204603_T18TYN,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_HARV_3,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_HARV_3,COPERNICUS/S2_HARMONIZED/20160816T153912_20160816T204603_T18TYN,NA5120_E2015N0811,EPSG:32618,-72.18346602144412,42.46150088778802,731574.0295891216,4704862.362274187,10319360.0,4154880.0,NEON_S2__0015
2016_HARV_3,20160816T153912_20160816T204603_T18TYN,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,729000.0013534757,4707000.0008215215,32618,COPERNICUS/S2_HARMONIZED/20160816T153912_20160816T204603_T18TYN,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_HARV_3,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_HARV_3,COPERNICUS/S2_HARMONIZED/20160816T153912_20160816T204603_T18TYN,NA5120_E2015N0812,EPSG:32618,-72.16409384363574,42.50447224037963,733007.2672856918,4709687.433611651,10319360.0,4160000.0,NEON_S2__0016
2016_HARV_3,20160816T153912_20160816T204603_T18TYN,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,729000.0013534757,4707000.0008215215,32618,COPERNICUS/S2_HARMONIZED/20160816T153912_20160816T204603_T18TYN,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_HARV_3,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_HARV_3,COPERNICUS/S2_HARMONIZED/20160816T153912_20160816T204603_T18TYN,NA5120_E2015N0813,EPSG:32618,-72.14468515234222,42.54743751338943,734441.210608064,4714512.3366984045,10319360.0,4165120.0,NEON_S2__0017
2017_CLBJ_2,20170430T171301_20170430T172229_T14SPB,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,629499.9999506018,3692999.999554598,32614,COPERNICUS/S2_HARMONIZED/20170430T171301_20170430T172229_T14SPB,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_CLBJ_2,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_CLBJ_2,COPERNICUS/S2_HARMONIZED/20170430T171301_20170430T172229_T14SPB,NA5120_E1611N0546,EPSG:32614,-97.6461469303056,33.37097878824861,625944.0521368855,3693233.480103688,8250880.0,2798080.0,NEON_S2__0018
2017_CLBJ_2,20170430T171301_20170430T172229_T14SPB,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,629499.9999506018,3692999.999554598,32614,COPERNICUS/S2_HARMONIZED/20170430T171301_20170430T172229_T14SPB,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_CLBJ_2,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_CLBJ_2,COPERNICUS/S2_HARMONIZED/20170430T171301_20170430T172229_T14SPB,NA5120_E1612N0546,EPSG:32614,-97.59208957295374,33.37104797051992,630973.1039415916,3693307.8351263576,8256000.0,2798080.0,NEON_S2__0019
2017_CLBJ_2,20170430T171301_20170430T172229_T14SPC,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,629500.0513381541,3695124.978874789,32614,COPERNICUS/S2_HARMONIZED/20170430T171301_20170430T172229_T14SPC,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_CLBJ_2,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_CLBJ_2,COPERNICUS/S2_HARMONIZED/20170430T171301_20170430T172229_T14SPC,NA5120_E1611N0546,EPSG:32614,-97.6461469303056,33.37097878824861,625944.0521368855,3693233.480103688,8250880.0,2798080.0,NEON_S2__0020
2017_CLBJ_2,20170430T171301_20170430T172229_T14SPC,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,629500.0513381541,3695124.978874789,32614,COPERNICUS/S2_HARMONIZED/20170430T171301_20170430T172229_T14SPC,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_CLBJ_2,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_CLBJ_2,COPERNICUS/S2_HARMONIZED/20170430T171301_20170430T172229_T14SPC,NA5120_E1612N0546,EPSG:32614,-97.59208957295374,33.37104797051992,630973.1039415916,3693307.8351263576,8256000.0,2798080.0,NEON_S2__0021
2017_SERC_3,20170804T154911_20170804T155116_T18SUJ,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,364499.9996486307,4305999.998759071,32618,COPERNICUS/S2_HARMONIZED/20170804T154911_20170804T155116_T18SUJ,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_SERC_3,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_SERC_3,COPERNICUS/S2_HARMONIZED/20170804T154911_20170804T155116_T18SUJ,NA5120_E1967N0714,EPSG:32618,-76.58979840081254,38.89441484549036,362128.4205379884,4306260.971004153,10073600.0,3658240.0,NEON_S2__0022
2017_SERC_3,20170804T154911_20170804T155116_T18SUJ,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,364499.9996486307,4305999.998759071,32618,COPERNICUS/S2_HARMONIZED/20170804T154911_20170804T155116_T18SUJ,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_SERC_3,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_SERC_3,COPERNICUS/S2_HARMONIZED/20170804T154911_20170804T155116_T18SUJ,NA5120_E1968N0714,EPSG:32618,-76.53330071961338,38.88207446266876,367005.29138756974,4304807.5963218,10078720.0,3658240.0,NEON_S2__0023
2017_SRER_1,20170823T181441_20170823T181444_T12SVA,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,505466.5574477448,3525242.394145125,32612,COPERNICUS/S2_HARMONIZED/20170823T181441_20170823T181444_T12SVA,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_SRER_1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_SRER_1,COPERNICUS/S2_HARMONIZED/20170823T181441_20170823T181444_T12SVA,NA5120_E1361N0534,EPSG:32612,-110.94552735409772,31.833547591521924,505154.50640777504,3521987.2342470107,6970880.0,2736640.0,NEON_S2__0024
2017_SRER_1,20170823T181441_20170823T181444_T12SWA,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,514268.3518495863,3524094.650470739,32612,COPERNICUS/S2_HARMONIZED/20170823T181441_20170823T181444_T12SWA,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_SRER_1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_SRER_1,COPERNICUS/S2_HARMONIZED/20170823T181441_20170823T181444_T12SWA,NA5120_E1361N0534,EPSG:32612,-110.94552735409772,31.833547591521924,505154.50640777504,3521987.2342470107,6970880.0,2736640.0,NEON_S2__0025
2017_SRER_1,20170823T181441_20170823T181444_T12SWA,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,514268.3518495863,3524094.650470739,32612,COPERNICUS/S2_HARMONIZED/20170823T181441_20170823T181444_T12SWA,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_SRER_1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_SRER_1,COPERNICUS/S2_HARMONIZED/20170823T181441_20170823T181444_T12SWA,NA5120_E1362N0534,EPSG:32612,-110.89320645889448,31.84124828243387,510104.56483958464,3522844.451534556,6976000.0,2736640.0,NEON_S2__0026
2017_SRER_1,20170823T181441_20170823T181444_T12SWA,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,514268.3518495863,3524094.650470739,32612,COPERNICUS/S2_HARMONIZED/20170823T181441_20170823T181444_T12SWA,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_SRER_1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_SRER_1,COPERNICUS/S2_HARMONIZED/20170823T181441_20170823T181444_T12SWA,NA5120_E1362N0535,EPSG:32612,-110.90112377979187,31.886612920035653,509350.864609819,3527871.965484011,6976000.0,2741760.0,NEON_S2__0027
2017_SRER_1,20170823T181441_20170823T181444_T12SWA,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,514268.3518495863,3524094.650470739,32612,COPERNICUS/S2_HARMONIZED/20170823T181441_20170823T181444_T12SWA,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_SRER_1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_SRER_1,COPERNICUS/S2_HARMONIZED/20170823T181441_20170823T181444_T12SWA,NA5120_E1363N0533,EPSG:32612,-110.8330005971151,31.80354710805076,515807.5363841208,3518672.8504215693,6981120.0,2731520.0,NEON_S2__0028
2017_SRER_1,20170823T181441_20170823T181444_T12SWA,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,514268.3518495863,3524094.650470739,32612,COPERNICUS/S2_HARMONIZED/20170823T181441_20170823T181444_T12SWA,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_SRER_1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_SRER_1,COPERNICUS/S2_HARMONIZED/20170823T181441_20170823T181444_T12SWA,NA5120_E1363N0534,EPSG:32612,-110.8408753305248,31.84891950227035,515054.7773915216,3523700.790957985,6981120.0,2736640.0,NEON_S2__0029
2017_SRER_1,20170823T181441_20170823T181444_T12SWA,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,514268.3518495863,3524094.650470739,32612,COPERNICUS/S2_HARMONIZED/20170823T181441_20170823T181444_T12SWA,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_SRER_1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_SRER_1,COPERNICUS/S2_HARMONIZED/20170823T181441_20170823T181444_T12SWA,NA5120_E1363N0535,EPSG:32612,-110.84876344045516,31.89429034718008,514301.4738552236,3528728.646211973,6981120.0,2741760.0,NEON_S2__0030
2017_SRER_1,20170823T181441_20170823T181444_T12SWA,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,514268.3518495863,3524094.650470739,32612,COPERNICUS/S2_HARMONIZED/20170823T181441_20170823T181444_T12SWA,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_SRER_1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_SRER_1,COPERNICUS/S2_HARMONIZED/20170823T181441_20170823T181444_T12SWA,NA5120_E1364N0533,EPSG:32612,-110.78068846045136,31.811182668685944,520757.5089275147,3519527.9692332386,6986240.0,2731520.0,NEON_S2__0031
2017_SRER_1,20170823T181441_20170823T181444_T12SWA,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,514268.3518495863,3524094.650470739,32612,COPERNICUS/S2_HARMONIZED/20170823T181441_20170823T181444_T12SWA,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_SRER_1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_SRER_1,COPERNICUS/S2_HARMONIZED/20170823T181441_20170823T181444_T12SWA,NA5120_E1364N0534,EPSG:32612,-110.7885340037776,31.85656123877582,520005.1468326408,3524556.253498054,6986240.0,2736640.0,NEON_S2__0032
2017_SRER_1,20170823T181441_20170823T181444_T12SWA,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,514268.3518495863,3524094.650470739,32612,COPERNICUS/S2_HARMONIZED/20170823T181441_20170823T181444_T12SWA,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_SRER_1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2017_SRER_1,COPERNICUS/S2_HARMONIZED/20170823T181441_20170823T181444_T12SWA,NA5120_E1364N0535,EPSG:32612,-110.7963928771139,31.90193826869109,519252.2392653765,3529584.451936191,6986240.0,2741760.0,NEON_S2__0033
2018_OAES_3,20180418T171901_20180418T172509_T14SME,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,491000.0010486118,3913500.000954498,32614,COPERNICUS/S2_HARMONIZED/20180418T171901_20180418T172509_T14SME,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_OAES_3,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_OAES_3,COPERNICUS/S2_HARMONIZED/20180418T171901_20180418T172509_T14SME,NA5120_E1584N0589,EPSG:32614,-99.14965834509331,35.34141862450361,486400.39076451847,3910916.434408161,8112640.0,3018240.0,NEON_S2__0034
2018_OAES_3,20180418T171901_20180418T172509_T14SME,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,491000.0010486118,3913500.000954498,32614,COPERNICUS/S2_HARMONIZED/20180418T171901_20180418T172509_T14SME,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_OAES_3,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_OAES_3,COPERNICUS/S2_HARMONIZED/20180418T171901_20180418T172509_T14SME,NA5120_E1584N0590,EPSG:32614,-99.15072623350052,35.38755405773771,486311.14088590926,3916033.140110683,8112640.0,3023360.0,NEON_S2__0035
2018_OAES_3,20180418T171901_20180418T172509_T14SME,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,491000.0010486118,3913500.000954498,32614,COPERNICUS/S2_HARMONIZED/20180418T171901_20180418T172509_T14SME,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_OAES_3,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_OAES_3,COPERNICUS/S2_HARMONIZED/20180418T171901_20180418T172509_T14SME,NA5120_E1585N0589,EPSG:32614,-99.09413506984632,35.342369622175006,491445.950642996,3911015.693259932,8117760.0,3018240.0,NEON_S2__0036
2018_OAES_3,20180418T171901_20180418T172509_T14SME,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,491000.0010486118,3913500.000954498,32614,COPERNICUS/S2_HARMONIZED/20180418T171901_20180418T172509_T14SME,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_OAES_3,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_OAES_3,COPERNICUS/S2_HARMONIZED/20180418T171901_20180418T172509_T14SME,NA5120_E1585N0590,EPSG:32614,-99.09516704491072,35.38850588309924,491357.0940160986,3916132.4304857138,8117760.0,3023360.0,NEON_S2__0037
2018_SRER_2,20180823T175909_20180823T180657_T12SVA,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,504374.8969900116,3521000.0101019223,32612,COPERNICUS/S2_HARMONIZED/20180823T175909_20180823T180657_T12SVA,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_SRER_2,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_SRER_2,COPERNICUS/S2_HARMONIZED/20180823T175909_20180823T180657_T12SVA,NA5120_E1361N0533,EPSG:32612,-110.93759431725104,31.788187615835877,505908.0613676269,3516959.975530469,6970880.0,2731520.0,NEON_S2__0038
2018_SRER_2,20180823T175909_20180823T180657_T12SVA,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,504374.8969900116,3521000.0101019223,32612,COPERNICUS/S2_HARMONIZED/20180823T175909_20180823T180657_T12SVA,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_SRER_2,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_SRER_2,COPERNICUS/S2_HARMONIZED/20180823T175909_20180823T180657_T12SVA,NA5120_E1361N0534,EPSG:32612,-110.94552735409772,31.833547591521924,505154.50640777504,3521987.2342470107,6970880.0,2736640.0,NEON_S2__0039
2018_SRER_2,20180823T175909_20180823T180657_T12SWA,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,512985.2409022484,3520999.996175031,32612,COPERNICUS/S2_HARMONIZED/20180823T175909_20180823T180657_T12SWA,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_SRER_2,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_SRER_2,COPERNICUS/S2_HARMONIZED/20180823T175909_20180823T180657_T12SWA,NA5120_E1361N0533,EPSG:32612,-110.93759431725104,31.788187615835877,505908.0613676269,3516959.975530469,6970880.0,2731520.0,NEON_S2__0040
2018_SRER_2,20180823T175909_20180823T180657_T12SWA,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,512985.2409022484,3520999.996175031,32612,COPERNICUS/S2_HARMONIZED/20180823T175909_20180823T180657_T12SWA,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_SRER_2,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_SRER_2,COPERNICUS/S2_HARMONIZED/20180823T175909_20180823T180657_T12SWA,NA5120_E1361N0534,EPSG:32612,-110.94552735409772,31.833547591521924,505154.50640777504,3521987.2342470107,6970880.0,2736640.0,NEON_S2__0041
2018_SRER_2,20180823T175909_20180823T180657_T12SWA,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,512985.2409022484,3520999.996175031,32612,COPERNICUS/S2_HARMONIZED/20180823T175909_20180823T180657_T12SWA,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_SRER_2,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_SRER_2,COPERNICUS/S2_HARMONIZED/20180823T175909_20180823T180657_T12SWA,NA5120_E1362N0532,EPSG:32612,-110.87741205652864,31.75051433493746,511610.3340084088,3512789.1693388447,6976000.0,2726400.0,NEON_S2__0042
2018_SRER_2,20180823T175909_20180823T180657_T12SWA,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED,512985.2409022484,3520999.996175031,32612,COPERNICUS/S2_HARMONIZED/20180823T175909_20180823T180657_T12SWA,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_SRER_2,projects/neon-prod-earthengine/assets/HSI_REFL/001/2018_SRER_2,COPERNICUS/S2_HARMONIZED/20180823T175909_20180823T180657_T12SWA,NA5120_E1362N0533,EPSG:32612,-110.88530256095152,31.795882086357963,510857.7214534506,3517816.85284724,6976000.0,2731520.0,NEON_S2__0043
