tile_id,utm,lon,lat,utm_x,utm_y,e7g_x,e7g_y,mgrs_tiles,ntiles,neon_id,neon_date
NA5120_E1861N0615,EPSG:32617,-83.6610655511229,35.54636916689449,258770.15489625384,3936894.159155327,9530880.0,3151360.0,16SGE,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,2016-06-08
NA5120_E1861N0616,EPSG:32617,-83.65210113880836,35.59162715173838,259718.274787565,3941893.3972219024,9530880.0,3156480.0,16SGE,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,2016-06-08
NA5120_E1861N0617,EPSG:32617,-83.64312078686532,35.63688333974424,260667.06419068237,3946892.4773719665,9530880.0,3161600.0,16SGE,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,2016-06-08
NA5120_E1861N0618,EPSG:32617,-83.6341244574703,35.68213772711043,261616.52252766228,3951891.399721644,9530880.0,3166720.0,16SGE,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,2016-06-08
NA5120_E1861N0619,EPSG:32617,-83.6251121126759,35.72739031002431,262566.6492202455,3956890.1643876117,9530880.0,3171840.0,16SGE,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,2016-06-08
NA5120_E1862N0616,EPSG:32617,-83.59716902765618,35.58352153657688,264672.5337241844,3940861.316464352,9536000.0,3156480.0,17SKV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,2016-06-08
NA5120_E1862N0617,EPSG:32617,-83.58815521373354,35.62877077307547,265621.5671535979,3945859.926418435,9536000.0,3161600.0,17SKV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,2016-06-08
NA5120_E1862N0618,EPSG:32617,-83.5791253671715,35.67401819790959,266571.2686234509,3950858.379278738,9536000.0,3166720.0,17SKV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,2016-06-08
NA5120_E1862N0619,EPSG:32617,-83.57007944990818,35.71926380723982,267521.6375559522,3955856.6751626916,9536000.0,3171840.0,17SKV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,2016-06-08
NA5120_E1863N0616,EPSG:32617,-83.54224939926206,35.57538447226941,269626.5116538632,3939828.5872878516,9541120.0,3156480.0,17SKV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,2016-06-08
NA5120_E1863N0617,EPSG:32617,-83.53320215617227,35.62062673229746,270575.790008912,3944826.7289147885,9541120.0,3161600.0,17SKV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,2016-06-08
NA5120_E1863N0618,EPSG:32617,-83.52413882536106,35.66586716960197,271525.7355120389,3949824.7141544865,9541120.0,3166720.0,17SKV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,2016-06-08
NA5120_E1863N0619,EPSG:32617,-83.51505936865259,35.71110578031671,272476.3475859064,3954822.5431251368,9541120.0,3171840.0,17SKV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,2016-06-08
NA5120_E1863N0620,EPSG:32617,-83.50596374774584,35.7563425605643,273427.62565286283,3959820.215945484,9541120.0,3176960.0,17SKV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,2016-06-08
NA5120_E1864N0616,EPSG:32617,-83.48734229588058,35.56721597349785,274580.2113847089,3938795.2085362687,9546240.0,3156480.0,17SKV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,2016-06-08
NA5120_E1864N0617,EPSG:32617,-83.47826165653521,35.612451232127064,275529.73556536925,3943792.8837036784,9546240.0,3161600.0,17SKV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,2016-06-08
