neon_id,s2_id,longitude,latitude,time,cs_cdf,base_date,days_diff,utm_x,utm_y,crs,tile_id,abs_days_diff,id,sentinel2_id
projects/neon-prod-earthengine/assets/HSI_REFL/001/2019_CLBJ_4,20190420T170851_20190420T171657_T14SPB,-97.66771229838356,33.368460217790094,2019-04-20,0.9058823529411764,2019-04-19,1,625944.0521368855,3693233.480103688,EPSG:32614,NA5120_E1611N0546,1,NEON_S2__0136,COPERNICUS/S2_SR_HARMONIZED/20190420T170851_20190420T171657_T14SPB
projects/neon-prod-earthengine/assets/HSI_REFL/001/2019_HARV_6,20190801T153911_20190801T154113_T18TYN,-72.23317266993708,42.47522124208016,2019-08-01,0.9098039215686274,2019-08-11,-10,726692.5434356346,4706375.965894271,EPSG:32618,NA5120_E2014N0811,10,NEON_S2__0146,COPERNICUS/S2_SR_HARMONIZED/20190801T153911_20190801T154113_T18TYN
projects/neon-prod-earthengine/assets/HSI_REFL/001/2019_HEAL_3,20190705T214539_20190705T214538_T05VPL,-149.2266976934803,63.862311526397725,2019-07-05,0.9137254901960784,2019-06-26,9,390685.1177581016,7084654.227494199,EPSG:32606,NA5120_E1163N1390,9,NEON_S2__0152,COPERNICUS/S2_SR_HARMONIZED/20190705T214539_20190705T214538_T05VPL
projects/neon-prod-earthengine/assets/HSI_REFL/001/2019_JERC_5,20190830T160901_20190830T161839_T16RGV,-84.46750818741766,31.20675431808488,2019-08-30,0.9019607843137256,2019-08-30,0,742719.7264175967,3453873.1973528373,EPSG:32616,NA5120_E1861N0519,0,NEON_S2__0163,COPERNICUS/S2_SR_HARMONIZED/20190830T160901_20190830T161839_T16RGV
projects/neon-prod-earthengine/assets/HSI_REFL/001/2019_NIWO_3,20190815T174919_20190815T175713_T13TDE,-105.57863601645371,40.03755288709343,2019-08-15,0.9137254901960784,2019-08-14,1,448969.90451506857,4433895.238748319,EPSG:32613,NA5120_E1478N0698,1,NEON_S2__0172,COPERNICUS/S2_SR_HARMONIZED/20190815T174919_20190815T175713_T13TDE
projects/neon-prod-earthengine/assets/HSI_REFL/001/2019_OAES_4,20190418T171859_20190418T172845_T14SME,-99.09351831733808,35.34619114730764,2019-04-18,0.9058823529411764,2019-04-25,-7,491445.950642996,3911015.693259932,EPSG:32614,NA5120_E1585N0589,7,NEON_S2__0178,COPERNICUS/S2_SR_HARMONIZED/20190418T171859_20190418T172845_T14SME
projects/neon-prod-earthengine/assets/HSI_REFL/001/2019_SERC_4,20190516T154911_20190516T155317_T18SUJ,-76.60257821189442,38.88770932342044,2019-05-16,0.9019607843137256,2019-05-15,1,362128.4205379884,4306260.971004153,EPSG:32618,NA5120_E1967N0714,1,NEON_S2__0180,COPERNICUS/S2_SR_HARMONIZED/20190516T154911_20190516T155317_T18SUJ
projects/neon-prod-earthengine/assets/HSI_REFL/001/2019_SOAP_4,20190616T183921_20190616T185133_T11SKB,-119.2387775528888,37.001965878996735,2019-06-16,0.9058823529411764,2019-06-11,5,300330.8451279858,4097850.5304439072,EPSG:32611,NA5120_E1236N0678,5,NEON_S2__0182,COPERNICUS/S2_SR_HARMONIZED/20190616T183921_20190616T185133_T11SKB
projects/neon-prod-earthengine/assets/HSI_REFL/001/2019_SRER_3,20190823T175911_20190823T181235_T12SWA,-110.7759289242556,31.850666713741752,2019-08-23,0.9019607843137256,2019-09-01,-9,520005.1468326408,3524556.253498054,EPSG:32612,NA5120_E1364N0534,9,NEON_S2__0191,COPERNICUS/S2_SR_HARMONIZED/20190823T175911_20190823T181235_T12SWA
projects/neon-prod-earthengine/assets/HSI_REFL/001/2019_TALL_5,20190423T162839_20190423T164404_T16SDB,-87.41110771042051,32.9085227923209,2019-04-23,0.9098039215686274,2019-04-27,-4,461491.7677588154,3641893.5660184575,EPSG:32616,NA5120_E1801N0548,4,NEON_S2__0192,COPERNICUS/S2_SR_HARMONIZED/20190423T162839_20190423T164404_T16SDB
projects/neon-prod-earthengine/assets/HSI_REFL/001/2020_CPER_5,20200612T173911_20200612T174503_T13TEF,-104.75074865060915,40.81944651039105,2020-06-12,0.9019607843137256,2020-06-14,-2,522901.7805693787,4518221.870780458,EPSG:32613,NA5120_E1494N0713,2,NEON_S2__0198,COPERNICUS/S2_SR_HARMONIZED/20200612T173911_20200612T174503_T13TEF
projects/neon-prod-earthengine/assets/HSI_REFL/001/2020_NIWO_4,20200720T174909_20200720T175738_T13TDE,-105.57863601645371,40.03755288709343,2020-07-20,0.9058823529411764,2020-07-20,0,448969.90451506857,4433895.238748319,EPSG:32613,NA5120_E1478N0698,0,NEON_S2__0205,COPERNICUS/S2_SR_HARMONIZED/20200720T174909_20200720T175738_T13TDE
projects/neon-prod-earthengine/assets/HSI_REFL/001/2020_RMNP_3,20200630T174909_20200630T175742_T13TDE,-105.48664853135988,40.2215278572811,2020-06-30,0.9098039215686274,2020-06-27,3,457679.53039137577,4450162.460996473,EPSG:32613,NA5120_E1480N0701,3,NEON_S2__0211,COPERNICUS/S2_SR_HARMONIZED/20200630T174909_20200630T175742_T13TDE
projects/neon-prod-earthengine/assets/HSI_REFL/001/2020_YELL_3,20200706T180919_20200706T181535_T12TWQ,-110.63794769661486,44.95888333961381,2020-07-06,0.9019607843137256,2020-07-05,1,529908.2475609473,4978672.133515896,EPSG:32612,NA5120_E1412N0815,1,NEON_S2__0217,COPERNICUS/S2_SR_HARMONIZED/20200706T180919_20200706T181535_T12TWQ
projects/neon-prod-earthengine/assets/HSI_REFL/001/2021_ABBY_4,20210719T190919_20210719T191700_T10TER,-122.36635204607931,45.74077696291144,2021-07-19,0.9137254901960784,2021-07-19,0,550288.2756978411,5065763.20573849,EPSG:32610,NA5120_E1242N0877,0,NEON_S2__0253,COPERNICUS/S2_SR_HARMONIZED/20210719T190919_20210719T191700_T10TER
projects/neon-prod-earthengine/assets/HSI_REFL/001/2021_BONA_4,20210719T214531_20210719T214533_T06WVT,-147.52492921924429,65.15013631771147,2021-07-19,0.9098039215686274,2021-07-13,6,475154.775890875,7227611.056272239,EPSG:32606,NA5120_E1195N1400,6,NEON_S2__0270,COPERNICUS/S2_SR_HARMONIZED/20210719T214531_20210719T214533_T06WVT
projects/neon-prod-earthengine/assets/HSI_REFL/001/2021_CLBJ_5,20210613T170849_20210613T171949_T14SPB,-97.66771229838356,33.368460217790094,2021-06-13,0.9058823529411764,2021-06-19,-6,625944.0521368855,3693233.480103688,EPSG:32614,NA5120_E1611N0546,6,NEON_S2__0277,COPERNICUS/S2_SR_HARMONIZED/20210613T170849_20210613T171949_T14SPB
projects/neon-prod-earthengine/assets/HSI_REFL/001/2021_CPER_8,20210528T173901_20210528T174555_T13TEF,-104.75074865060915,40.81944651039105,2021-05-28,0.9019607843137256,2021-05-25,3,522901.7805693787,4518221.870780458,EPSG:32613,NA5120_E1494N0713,3,NEON_S2__0282,COPERNICUS/S2_SR_HARMONIZED/20210528T173901_20210528T174555_T13TEF
projects/neon-prod-earthengine/assets/HSI_REFL/001/2021_HEAL_4,20210704T214529_20210704T214647_T05VPL,-149.2266976934803,63.862311526397725,2021-07-04,0.9019607843137256,2021-07-12,-8,390685.1177581016,7084654.227494199,EPSG:32606,NA5120_E1163N1390,8,NEON_S2__0290,COPERNICUS/S2_SR_HARMONIZED/20210704T214529_20210704T214647_T05VPL
projects/neon-prod-earthengine/assets/HSI_REFL/001/2021_JERC_6,20210906T161829_20210906T163128_T16RGV,-84.5594956725115,31.29874180317872,2021-09-06,0.9098039215686274,2021-09-05,1,733993.9035933707,3465403.795823336,EPSG:32616,NA5120_E1859N0521,1,NEON_S2__0295,COPERNICUS/S2_SR_HARMONIZED/20210906T161829_20210906T163128_T16RGV
projects/neon-prod-earthengine/assets/HSI_REFL/001/2021_OAES_5,20210616T171859_20210616T172546_T14SME,-99.09351831733808,35.34619114730764,2021-06-16,0.9058823529411764,2021-06-22,-6,491445.950642996,3911015.693259932,EPSG:32614,NA5120_E1585N0589,6,NEON_S2__0307,COPERNICUS/S2_SR_HARMONIZED/20210616T171859_20210616T172546_T14SME
projects/neon-prod-earthengine/assets/HSI_REFL/001/2021_OSBS_6,20210905T155901_20210905T160747_T17RLN,-81.98384608988401,29.734954556583457,2021-09-05,0.9058823529411764,2021-08-31,5,406196.9280829108,3289169.3733612294,EPSG:32617,NA5120_E1913N0496,5,NEON_S2__0314,COPERNICUS/S2_SR_HARMONIZED/20210905T155901_20210905T160747_T17RLN
projects/neon-prod-earthengine/assets/HSI_REFL/001/2021_SERC_5,20210808T154809_20210808T155521_T18SUJ,-76.60257821189442,38.88770932342044,2021-08-08,0.9098039215686274,2021-08-11,-3,362128.4205379884,4306260.971004153,EPSG:32618,NA5120_E1967N0714,3,NEON_S2__0316,COPERNICUS/S2_SR_HARMONIZED/20210808T154809_20210808T155521_T18SUJ
projects/neon-prod-earthengine/assets/HSI_REFL/001/2021_SJER_5,20210401T183919_20210401T184709_T10SGG,-119.74470872090492,37.093953364090574,2021-04-01,0.9098039215686274,2021-03-31,1,256313.93843769428,4107087.735670382,EPSG:32611,NA5120_E1228N0682,1,NEON_S2__0323,COPERNICUS/S2_SR_HARMONIZED/20210401T183919_20210401T184709_T10SGG
projects/neon-prod-earthengine/assets/HSI_REFL/001/2021_SOAP_5,20210715T183921_20210715T184627_T11SKB,-119.2387775528888,37.04795962154365,2021-07-15,0.9058823529411764,2021-07-12,3,299155.24369540846,4102754.4700977015,EPSG:32611,NA5120_E1236N0679,3,NEON_S2__0337,COPERNICUS/S2_SR_HARMONIZED/20210715T183921_20210715T184627_T11SKB
projects/neon-prod-earthengine/assets/HSI_REFL/001/2021_SRER_4,20210827T175909_20210827T180943_T12SWA,-110.86791640934943,31.75867922864792,2021-08-27,0.9019607843137256,2021-08-23,4,511610.3340084088,3512789.1693388447,EPSG:32612,NA5120_E1362N0532,4,NEON_S2__0346,COPERNICUS/S2_SR_HARMONIZED/20210827T175909_20210827T180943_T12SWA
projects/neon-prod-earthengine/assets/HSI_REFL/001/2021_TALL_6,20210422T162829_20210422T163638_T16SDB,-87.41110771042051,32.9085227923209,2021-04-22,0.9058823529411764,2021-04-26,-4,461491.7677588154,3641893.5660184575,EPSG:32616,NA5120_E1801N0548,4,NEON_S2__0353,COPERNICUS/S2_SR_HARMONIZED/20210422T162829_20210422T163638_T16SDB
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_ABBY_5,20220711T185919_20220711T190833_T10TER,-122.36635204607931,45.74077696291144,2022-07-11,0.9176470588235294,2022-07-11,0,550288.2756978411,5065763.20573849,EPSG:32610,NA5120_E1242N0877,0,NEON_S2__0359,COPERNICUS/S2_SR_HARMONIZED/20220711T185919_20220711T190833_T10TER
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_ARIK_4,20220709T172911_20220709T174059_T13TGE,-102.54304900835704,39.71559668926499,2022-07-09,0.9019607843137256,2022-07-07,2,712488.0097628528,4397738.134227824,EPSG:32613,NA5120_E1529N0686,2,NEON_S2__0371,COPERNICUS/S2_SR_HARMONIZED/20220709T172911_20220709T174059_T13TGE
