ID_NEON,ID_SENTINEL2,Collection_NEON,Collection_Sentinel,x,y,crs
2022_ABBY_5,20220711T185919_20220711T190833_T10TER,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,553000.0008358404,5067499.999758453,32610
2022_ARIK_4,20220707T173909_20220707T174820_T13SGD,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,713999.9954418399,4395524.654612852,32613
2022_ARIK_4,20220707T173909_20220707T174820_T13TGE,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,713999.9998072333,4402500.002880952,32613
2022_ARIK_4,20220707T173909_20220707T174820_T14SKJ,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,718876.9349724039,4394265.474652847,32613
2022_ARIK_4,20220707T173909_20220707T174820_T14TKK,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,718524.188101603,4402831.173237673,32613
2022_CHEQ_7,20220617T164851_20220617T164900_T15TYL,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,726500.0004295768,5077000.000409429,32615
2022_GRSM_7,20220923T161001_20220923T161444_T16SGE,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,262766.2363618007,3948391.046970905,32617
2022_GRSM_7,20220923T161001_20220923T161444_T17SKV,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,274499.9988746394,3948000.000239101,32617
2022_GUIL_2,20221024T150719_20221024T150719_T19QGA,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,734000.0028922816,2009500.0016991699,32619
2022_JORN_5,20220903T174921_20220903T175451_T13SCS,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,325999.99946390616,3613000.000518506,32613
2022_KONZ_7,20220613T170901_20220613T172041_T14SPJ,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,705895.192918659,4335499.479460668,32614
2022_KONZ_7,20220613T170901_20220613T172041_T14SQJ,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,710000.0004893347,4335500.001707495,32614
2022_MCDI_3,20220613T170901_20220613T172041_T14SQJ,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,718500.0001998106,4314500.001267903,32614
2022_MLBS_5,20220920T155941_20220920T161148_T17SNB,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,541000.0006267437,4137500.0013739564,32617
2022_MOAB_6,20220429T175921_20220429T180752_T12SXH,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,641500.0010208006,4234000.000099552,32612
2022_ONAQ_4,20220505T181921_20220505T182340_T12TUK,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,372999.9987377218,4449999.999902138,32612
2022_REDB_4,20220505T181921_20220505T182340_T12TVL,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,434500.00113285414,4516999.999536767,32612
2022_STER_4,20220717T173909_20220717T174744_T13TFE,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED,666000.0016098047,4482500.000737344,32613
