neon_id,neon_date
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_MCDI_3,2022-06-14
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_MCRA_3,2022-07-14
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_MLBS_5,2022-09-21
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_MOAB_6,2022-04-30
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_OAES_6,2022-05-09
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_ONAQ_4,2022-05-05
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_PRIN_5,2022-05-06
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_REDB_4,2022-05-06
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_RMNP_4,2022-07-25
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_SCBI_5,2022-05-30
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_SERC_6,2022-05-29
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_SRER_5,2022-08-29
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_STEI_5,2022-06-09
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_STER_4,2022-07-17
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_TOOL_4,2022-08-03
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_UKFS_6,2022-06-09
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_UNDE_5,2022-06-20
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_WREF_5,2022-07-11
projects/neon-prod-earthengine/assets/HSI_REFL/002/2022_YELL_4,2022-06-22
projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_ABBY_6,2023-06-28
projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_ARIK_5,2023-08-14
projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_BONA_5,2023-08-11
projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_CLBJ_7,2023-05-17
projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_DEJU_5,2023-07-21
projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_DELA_7,2023-05-25
projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_DSNY_7,2023-04-18
projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_HEAL_5,2023-08-13
projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_JERC_7,2023-05-02
projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_KONZ_8,2023-05-26
projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_LENO_7,2023-05-14
projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_MCRA_4,2023-07-01
projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_MLBS_6,2023-06-02
projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_MOAB_7,2023-04-28
projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_NIWO_5,2023-07-24
projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_NOGP_6,2023-06-26
projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_OAES_7,2023-05-08
projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_ONAQ_5,2023-04-26
projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_OSBS_7,2023-04-23
projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_PRIN_6,2023-05-18
projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_REDB_5,2023-04-29
projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_RMNP_5,2023-07-28
projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_SCBI_6,2023-06-18
projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_SJER_6,2023-04-01
projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_SOAP_6,2023-06-05
projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_SOAP_7,2023-07-06
projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_TALL_7,2023-05-26
projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_TEAK_6,2023-07-08
projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_UKFS_7,2023-05-24
projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_WLOU_4,2023-08-21
projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_WOOD_6,2023-06-20
projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_WREF_6,2023-06-24
projects/neon-prod-earthengine/assets/HSI_REFL/002/2023_YELL_5,2023-07-03
projects/neon-prod-earthengine/assets/HSI_REFL/002/2024_BART_7,2024-08-30
projects/neon-prod-earthengine/assets/HSI_REFL/002/2024_BONA_6,2024-07-10
projects/neon-prod-earthengine/assets/HSI_REFL/002/2024_CHEQ_8,2024-07-09
projects/neon-prod-earthengine/assets/HSI_REFL/002/2024_CLBJ_8,2024-05-14
projects/neon-prod-earthengine/assets/HSI_REFL/002/2024_DELA_8,2024-05-21
projects/neon-prod-earthengine/assets/HSI_REFL/002/2024_HARV_8,2024-08-14
projects/neon-prod-earthengine/assets/HSI_REFL/002/2024_HEAL_6,2024-07-19
projects/neon-prod-earthengine/assets/HSI_REFL/002/2024_HOPB_5,2024-09-04
projects/neon-prod-earthengine/assets/HSI_REFL/002/2024_JERC_8,2024-05-08
projects/neon-prod-earthengine/assets/HSI_REFL/002/2024_KONZ_9,2024-06-05
projects/neon-prod-earthengine/assets/HSI_REFL/002/2024_LENO_8,2024-05-26
projects/neon-prod-earthengine/assets/HSI_REFL/002/2024_MCDI_4,2024-06-12
projects/neon-prod-earthengine/assets/HSI_REFL/002/2024_OAES_8,2024-05-21
projects/neon-prod-earthengine/assets/HSI_REFL/002/2024_PRIN_7,2024-05-19
projects/neon-prod-earthengine/assets/HSI_REFL/002/2024_SJER_7,2024-04-02
projects/neon-prod-earthengine/assets/HSI_REFL/002/2024_SOAP_8,2024-06-10
projects/neon-prod-earthengine/assets/HSI_REFL/002/2024_SRER_6,2024-09-02
projects/neon-prod-earthengine/assets/HSI_REFL/002/2024_STEI_6,2024-06-30
projects/neon-prod-earthengine/assets/HSI_REFL/002/2024_TEAK_7,2024-06-12
projects/neon-prod-earthengine/assets/HSI_REFL/002/2024_UKFS_8,2024-06-06
projects/neon-prod-earthengine/assets/HSI_REFL/002/2024_WLOU_5,2024-08-01
