tile_id,utm,lon,lat,utm_x,utm_y,e7g_x,e7g_y,mgrs_tiles,ntiles,neon_id,neon_date,val_null
NA5120_E1611N0545,EPSG:32614,-97.646057016779,33.32481560589625,626018.9207577497,3688115.077732719,8250880.0,2792960.0,14SPB,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_CLBJ_1,2016-04-22,7.12484237074401
NA5120_E1611N0546,EPSG:32614,-97.64614693030559,33.37097878824861,625944.0521368855,3693233.4801036874,8250880.0,2798080.0,14SPB,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_CLBJ_1,2016-04-22,0.4821600771456124
NA5120_E1611N0547,EPSG:32614,-97.64623700223066,33.41714162662081,625869.0962642301,3698351.87999616,8250880.0,2803200.0,14SPC,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_CLBJ_1,2016-04-22,19.318547090967535
NA5120_E1612N0544,EPSG:32614,-97.59197636033426,33.27872114570061,631121.8757700714,3683070.8471029666,8256000.0,2787840.0,14SPB,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_CLBJ_1,2016-04-22,92.28543876567021
NA5120_E1612N0545,EPSG:32614,-97.59203291685546,33.32488472993673,631047.5340420781,3688189.3423776766,8256000.0,2792960.0,14SPB,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_CLBJ_1,2016-04-22,10.277427490542244
NA5120_E1612N0546,EPSG:32614,-97.59208957295374,33.37104797051992,630973.1039415916,3693307.8351263576,8256000.0,2798080.0,14SPB,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_CLBJ_1,2016-04-22,0.0
NA5120_E1612N0547,EPSG:32614,-97.59214632886192,33.41721086721488,630898.5855174839,3698426.325347452,8256000.0,2803200.0,14SPC,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_CLBJ_1,2016-04-22,21.2484237074401
NA5120_E1613N0547,EPSG:32614,-97.5380555783662,33.41724868555554,635928.1691819441,3698499.9040197395,8261120.0,2803200.0,14SPC,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_CLBJ_1,2016-04-22,76.19798234552333
NA5120_E1861N0615,EPSG:32617,-83.6610655511229,35.54636916689449,258770.15489625384,3936894.159155327,9530880.0,3151360.0,16SGE,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,2016-06-08,100.0
NA5120_E1861N0616,EPSG:32617,-83.65210113880836,35.59162715173838,259718.274787565,3941893.3972219024,9530880.0,3156480.0,16SGE,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,2016-06-08,98.41872232764072
NA5120_E1861N0617,EPSG:32617,-83.64312078686532,35.63688333974424,260667.06419068237,3946892.4773719665,9530880.0,3161600.0,16SGE,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,2016-06-08,67.235926628716
NA5120_E1861N0618,EPSG:32617,-83.6341244574703,35.68213772711043,261616.52252766228,3951891.399721644,9530880.0,3166720.0,16SGE,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,2016-06-08,11.6382036685642
NA5120_E1861N0619,EPSG:32617,-83.6251121126759,35.72739031002431,262566.6492202455,3956890.1643876117,9530880.0,3171840.0,16SGE,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,2016-06-08,95.12966476913346
NA5120_E1862N0616,EPSG:32617,-83.59716902765618,35.58352153657688,264672.5337241844,3940861.316464352,9536000.0,3156480.0,17SKV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,2016-06-08,21.568627450980394
NA5120_E1862N0617,EPSG:32617,-83.58815521373354,35.62877077307547,265621.5671535979,3945859.926418435,9536000.0,3161600.0,17SKV,1,projects/neon-prod-earthengine/assets/HSI_REFL/001/2016_GRSM_2,2016-06-08,0.15812776723592661
