ID_NEON,ID_SENTINEL2,Collection_NEON,Collection_Sentinel
2022_ABBY_5,20220711T185919_20220711T190833_T10TER,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2022_ARIK_4,20220707T173909_20220707T174820_T13SFD,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2022_ARIK_4,20220707T173909_20220707T174820_T13SGD,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2022_ARIK_4,20220707T173909_20220707T174820_T13TFE,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2022_ARIK_4,20220707T173909_20220707T174820_T13TGE,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2022_ARIK_4,20220707T173909_20220707T174820_T14SKJ,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2022_ARIK_4,20220707T173909_20220707T174820_T14TKK,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2022_CHEQ_7,20220617T164851_20220617T164900_T15TYL,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2022_CUPE_2,20221019T150721_20221019T150722_T19QGA,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2022_GRSM_7,20220923T161001_20220923T161444_T16SGE,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2022_GRSM_7,20220923T161001_20220923T161444_T17SKV,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2022_GUIL_2,20221024T150719_20221024T150719_T19QGA,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2022_JORN_5,20220903T174921_20220903T175451_T13SCR,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2022_JORN_5,20220903T174921_20220903T175451_T13SCS,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2022_KONZ_7,20220613T170901_20220613T172041_T14SPJ,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2022_KONZ_7,20220613T170901_20220613T172041_T14SQJ,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2022_KONZ_7,20220613T170901_20220613T172041_T15STD,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2022_LIRO_3,20220617T164851_20220617T164900_T15TYL,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2022_LIRO_3,20220617T164851_20220617T164900_T15TYM,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2022_MCDI_3,20220613T170901_20220613T172041_T14SQJ,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2022_MCDI_3,20220613T170901_20220613T172041_T15STD,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2022_MLBS_5,20220920T155941_20220920T161148_T17SNB,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2022_MOAB_6,20220429T175921_20220429T180752_T12SXH,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2022_OAES_6,20220509T170849_20220509T171847_T14SME,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2022_ONAQ_4,20220505T181921_20220505T182340_T12TUK,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2022_REDB_4,20220505T181921_20220505T182340_T12TVL,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2022_STER_4,20220717T173909_20220717T174744_T13TFE,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2022_TOOL_4,20220803T214541_20220803T214540_T05WPS,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2022_TOOL_4,20220803T214541_20220803T214540_T06WVB,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2022_UKFS_6,20220608T170849_20220608T171949_T15STD,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2022_UKFS_6,20220608T170849_20220608T171949_T15SUD,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2022_UNDE_5,20220620T165901_20220620T171040_T15TYM,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2022_UNDE_5,20220620T165901_20220620T171040_T16TCS,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2022_WREF_5,20220711T185919_20220711T190833_T10TER,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2022_YELL_4,20220621T180931_20220621T181040_T12TWQ,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2023_ARIK_5,20230813T172901_20230813T174104_T13SFD,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2023_ARIK_5,20230813T172901_20230813T174104_T13SGD,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2023_ARIK_5,20230813T172901_20230813T174104_T13TFE,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2023_ARIK_5,20230813T172901_20230813T174104_T13TGE,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2023_ARIK_5,20230813T172901_20230813T174104_T14SKJ,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2023_ARIK_5,20230813T172901_20230813T174104_T14TKK,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2023_DEJU_5,20230720T211521_20230720T211515_T06VWR,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2023_DEJU_5,20230720T211521_20230720T211515_T06WWS,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2023_DEJU_5,20230721T213539_20230721T213533_T06VWR,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2023_DEJU_5,20230721T213539_20230721T213533_T06WWS,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2023_DSNY_7,20230418T155821_20230418T160614_T17RML,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2023_DSNY_7,20230418T155821_20230418T160614_T17RMM,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2023_HEAL_5,20230812T212531_20230812T212612_T05VPL,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2023_HEAL_5,20230812T212531_20230812T212612_T05WPM,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2023_HEAL_5,20230812T212531_20230812T212612_T06VUR,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2023_HEAL_5,20230813T214539_20230813T214533_T05VPL,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2023_HEAL_5,20230813T214539_20230813T214533_T05WPM,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2023_HEAL_5,20230813T214539_20230813T214533_T06VUR,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2023_JERC_7,20230501T160821_20230501T161942_T16RGV,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2023_MCRA_4,20230701T185921_20230701T190611_T10TEP,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2023_MCRA_4,20230701T185921_20230701T190611_T10TEQ,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2023_MLBS_6,20230602T155819_20230602T160940_T17SNB,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2023_OAES_7,20230507T171859_20230507T172536_T14SME,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2023_ONAQ_5,20230425T181919_20230425T182746_T12TUK,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2023_OSBS_7,20230423T155819_20230423T160343_T17RLN,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2023_OSBS_7,20230423T155819_20230423T160343_T17RLP,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2023_OSBS_7,20230423T155819_20230423T160343_T17RMN,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
2023_OSBS_7,20230423T155819_20230423T160343_T17RMP,projects/neon-prod-earthengine/assets/HSI_REFL/002,COPERNICUS/S2_HARMONIZED
