bands_neon,wavelength,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12
111,933.2143,,,,,,,,,,0.155900297232795,,,
112,938.223,,,,,,,,,,0.256842769882878,,,
113,943.2316,,,,,,,,,,0.254794260167094,,,
114,948.2403,,,,,,,,,,0.22628854868678,,,
115,953.249,,,,,,,,,,0.0893301343511864,,,
116,958.2578,,,,,,,,,,0.003906870170248,,,
117,963.2663,,,,,,,,,,0.000267250402585121,,,
118,968.275,,,,,,,,,,,,,
119,973.2838,,,,,,,,,,,,,
120,978.2924,,,,,,,,,,,,,
121,983.301,,,,,,,,,,,,,
122,988.3098,,,,,,,,,,,,,
123,993.3184,,,,,,,,,,,,,
124,998.3272,,,,,,,,,,,,,
125,1003.3359,,,,,,,,,,,,,
126,1008.3444,,,,,,,,,,,,,
127,1013.3532,,,,,,,,,,,,,
128,1018.3619,,,,,,,,,,,,,
129,1023.3706,,,,,,,,,,,,,
130,1028.3793,,,,,,,,,,,,,
131,1033.388,,,,,,,,,,,,,
132,1038.3966,,,,,,,,,,,,,
133,1043.4054,,,,,,,,,,,,,
134,1048.414,,,,,,,,,,,,,
135,1053.4227,,,,,,,,,,,,,
136,1058.4314,,,,,,,,,,,,,
137,1063.4401,,,,,,,,,,,,,
138,1068.4487,,,,,,,,,,,,,
139,1073.4574,,,,,,,,,,,,,
140,1078.4661,,,,,,,,,,,,,
141,1083.4749,,,,,,,,,,,,,
142,1088.4836,,,,,,,,,,,,,
143,1093.4922,,,,,,,,,,,,,
144,1098.5009,,,,,,,,,,,,,
145,1103.5095,,,,,,,,,,,,,
146,1108.5182,,,,,,,,,,,,,
147,1113.527,,,,,,,,,,,,,
148,1118.5356,,,,,,,,,,,,,
149,1123.5443,,,,,,,,,,,,,
150,1128.553,,,,,,,,,,,,,
151,1133.5616,,,,,,,,,,,,,
152,1138.5704,,,,,,,,,,,,,
153,1143.5791,,,,,,,,,,,,,
154,1148.5878,,,,,,,,,,,,,
155,1153.5964,,,,,,,,,,,,,
