ID_NEON,ID_SENTINEL2,Collection_NEON,Collection_Sentinel
2021_JORN_4,20210826T173911_20210826T175436_T13SCS,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED
2021_MCRA_2,20210721T185921_20210721T190557_T10TEP,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED
2021_MCRA_2,20210721T185921_20210721T190557_T10TEQ,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED
2021_OAES_5,20210621T171901_20210621T172703_T14SME,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED
2021_OSBS_6,20210831T155819_20210831T160320_T17RLN,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED
2021_OSBS_6,20210831T155819_20210831T160320_T17RLP,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED
2021_OSBS_6,20210831T155819_20210831T160320_T17RMN,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED
2021_OSBS_6,20210831T155819_20210831T160320_T17RMP,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED
2021_SRER_4,20210822T175911_20210822T181050_T12SVA,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED
2021_SRER_4,20210822T175911_20210822T181050_T12SWA,projects/neon-prod-earthengine/assets/HSI_REFL/001,COPERNICUS/S2_HARMONIZED
