Wavelength,Value_sd
WL_FWHM_B001,1.0073954626361747
WL_FWHM_B002,1.0067533068630783
WL_FWHM_B003,1.0061041970895954
WL_FWHM_B004,1.0054412790280134
WL_FWHM_B005,1.004821741690785
WL_FWHM_B006,1.0041637953520401
WL_FWHM_B007,1.0035235254311572
WL_FWHM_B008,1.002884135872482
WL_FWHM_B009,1.002234015168519
WL_FWHM_B010,1.0016045535229525
WL_FWHM_B011,1.0009616336484588
WL_FWHM_B012,1.000340128495175
WL_FWHM_B013,0.999696888843782
WL_FWHM_B014,0.9990440749513114
WL_FWHM_B015,0.9984065654377077
WL_FWHM_B016,0.9977895873189666
WL_FWHM_B017,0.9971397906863594
WL_FWHM_B018,0.9964875029390571
WL_FWHM_B019,0.9958683709343309
WL_FWHM_B020,0.995212437052177
WL_FWHM_B021,0.9945811730106199
WL_FWHM_B022,0.9939557919337424
WL_FWHM_B023,0.9933178934450894
WL_FWHM_B024,0.9926772376702003
WL_FWHM_B025,0.9920345626565854
WL_FWHM_B026,0.9914084666295995
WL_FWHM_B027,0.9908133639471661
WL_FWHM_B028,0.9901358574234147
WL_FWHM_B029,0.9894974900854134
WL_FWHM_B030,0.9888850565010441
WL_FWHM_B031,0.9882688030582403
WL_FWHM_B032,0.9876258744911892
WL_FWHM_B033,0.9869989883723098
WL_FWHM_B034,0.9863821042589812
WL_FWHM_B035,0.9857435867189288
WL_FWHM_B036,0.9851101730226329
WL_FWHM_B037,0.9845035299084106
WL_FWHM_B038,0.9838485273990027
WL_FWHM_B039,0.983216430081224
WL_FWHM_B040,0.9826067166966981
WL_FWHM_B041,0.9819635346203072
WL_FWHM_B042,0.9813514981261223
WL_FWHM_B043,0.9807244368299154
WL_FWHM_B044,0.9801646764159827
WL_FWHM_B045,0.9795058662445741
WL_FWHM_B046,0.9788505161328694
WL_FWHM_B047,0.9782378845689907
WL_FWHM_B048,0.9775920042500122
WL_FWHM_B049,0.9769842367596205
WL_FWHM_B050,0.9763464170130094
WL_FWHM_B051,0.9757521267582258
WL_FWHM_B052,0.9751223094143321
